City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
153,Cidreira,BR,-30.1811,-50.2056,74.71,73,69,9.71,broken clouds
154,Xichang,CN,27.8964,102.2634,50.92,50,100,5.12,overcast clouds
155,Tyazhinskiy,RU,56.116,88.524,32.45,95,100,12.48,overcast clouds
156,Barrow,US,71.2906,-156.7887,-16.6,69,90,12.66,light snow
157,Belaya Gora,RU,68.5333,146.4167,-30.42,83,59,3.6,broken clouds
158,Plouzane,FR,48.3833,-4.6167,44.6,87,90,9.22,overcast clouds
159,Morehead,US,37.2711,-87.1764,21.99,73,90,5.75,overcast clouds
160,Zhigansk,RU,66.7697,123.3711,-26.36,83,100,15.41,overcast clouds
161,Saint George,US,37.1041,-113.5841,32.0,59,1,3.44,clear sky
162,Kamenka,RU,51.3223,42.7678,0.3,91,93,12.62,overcast clouds
163,Margate,GB,51.3813,1.3862,32.0,87,100,8.01,snow
164,Itoman,JP,26.1247,127.6694,64.4,68,20,6.91,few clouds
165,Gobabis,NA,-22.45,18.9667,85.26,34,69,17.4,broken clouds
166,Port Blair,IN,11.6667,92.75,79.99,75,0,12.24,clear sky
167,Caohai,CN,26.8661,104.2841,43.09,91,98,6.06,overcast clouds
168,Shetpe,KZ,44.1667,52.1167,36.1,86,100,12.5,overcast clouds
169,Mahebourg,MU,-20.4081,57.7,86.0,66,40,12.66,scattered clouds
170,The Pas,CA,53.8251,-101.2541,-34.6,67,1,12.66,clear sky
171,Larsnes,NO,62.2028,5.5773,30.99,84,0,3.98,clear sky
172,East London,ZA,-33.0153,27.9116,75.2,69,0,13.8,clear sky
173,Boksitogorsk,RU,59.474,33.8485,13.28,93,89,7.43,overcast clouds
174,Severo-Kurilsk,RU,50.6789,156.125,22.3,92,100,25.77,overcast clouds
175,Maceio,BR,-9.6658,-35.7353,86.0,62,75,9.22,broken clouds
176,Bajil,YE,15.0584,43.2851,78.89,60,100,10.83,overcast clouds
177,Phuket,TH,8.0,98.25,82.4,78,40,5.75,scattered clouds
178,Clyde River,CA,70.4692,-68.5914,-2.2,84,90,5.75,mist
179,Yelkhovka,RU,53.8667,50.2832,-0.4,60,40,8.95,scattered clouds
180,Virginia Beach,US,36.8529,-75.978,44.01,97,100,1.99,overcast clouds
181,Kaitangata,NZ,-46.2817,169.8464,59.0,91,97,3.27,overcast clouds
182,Kahului,US,20.8947,-156.47,64.0,82,20,6.91,few clouds
183,Lagos,NG,6.5833,3.75,95.0,55,75,5.75,broken clouds
184,Nuuk,GL,64.1835,-51.7216,33.8,44,20,20.71,few clouds
185,Klaksvik,FO,62.2266,-6.589,35.6,69,75,13.8,broken clouds
186,Twin Falls,US,42.3505,-114.6445,34.0,60,1,16.11,clear sky
187,Sao Joao Da Barra,BR,-21.6403,-41.0511,77.0,73,90,1.83,light rain
188,Wadi Maliz,TN,36.4681,8.5495,59.0,72,40,11.5,scattered clouds
189,Provideniya,RU,64.3833,-173.3,-4.11,78,0,13.91,clear sky
190,Dwarka,IN,22.2394,68.9678,75.99,38,0,8.66,clear sky
191,Beroroha,MG,-21.6667,45.1667,90.28,54,36,7.38,light rain
192,Vikhorevka,RU,56.1201,101.1636,24.8,80,40,4.47,scattered clouds
193,Kruisfontein,ZA,-34.0033,24.7314,70.0,88,100,5.01,overcast clouds
194,Aykhal,RU,66.0,111.5,-23.4,84,100,7.31,overcast clouds
195,Asau,RO,46.4333,26.4,28.99,74,100,4.05,overcast clouds
196,Mandan,US,46.8267,-100.8896,-14.8,76,90,5.75,overcast clouds
197,Souillac,MU,-20.5167,57.5167,86.0,66,40,12.66,scattered clouds
198,Kharp,RU,66.8014,65.8081,-3.41,89,100,16.49,light snow
199,Georgetown,MY,5.4112,100.3354,86.0,70,20,3.44,few clouds
200,Bredasdorp,ZA,-34.5322,20.0403,71.6,53,81,8.05,broken clouds
201,Luderitz,NA,-26.6481,15.1594,80.49,39,0,34.67,clear sky
202,Bereda,ES,43.2686,-7.5406,42.01,99,100,13.0,overcast clouds
203,Nyimba,ZM,-14.5566,30.8149,83.97,69,91,1.45,light rain
204,Sobolevo,RU,54.4299,31.8996,8.49,94,0,8.99,clear sky
205,Hay River,CA,60.8156,-115.7999,-41.8,66,41,2.3,scattered clouds
206,Hereford,GB,52.0568,-2.7148,36.0,77,100,1.01,overcast clouds
207,Thessalon,CA,46.2501,-83.5666,-2.2,78,1,3.44,clear sky
208,Celestun,MX,20.8667,-90.4,72.34,91,2,5.12,clear sky
209,Aripuana,BR,-9.1667,-60.6333,74.1,97,100,2.93,overcast clouds
210,Bengkulu,ID,-3.8004,102.2655,79.86,83,100,7.94,overcast clouds
211,Chartres,FR,48.4167,1.5,36.0,89,99,4.0,overcast clouds
212,Ostrovnoy,RU,68.0531,39.5131,8.02,88,100,13.73,overcast clouds
213,Laguna De Perlas,NI,12.3429,-83.6712,80.6,78,20,4.61,few clouds
214,Palmares Do Sul,BR,-30.2578,-50.5097,74.86,75,93,8.81,overcast clouds
215,Chapais,CA,49.7834,-74.8492,3.2,78,90,5.75,overcast clouds
216,Maniitsoq,GL,65.4167,-52.9,28.0,81,0,22.1,clear sky
217,Xuddur,SO,4.1213,43.8894,92.25,26,0,16.26,clear sky
218,Mokhsogollokh,RU,61.4681,128.9203,-32.94,84,46,3.2,scattered clouds
219,Fort Nelson,CA,58.8053,-122.7002,-29.2,68,20,4.61,few clouds
220,Aruppukkottai,IN,9.5167,78.1,82.4,36,40,5.75,scattered clouds
221,Ambovombe,MG,-25.1667,46.0833,82.08,75,56,12.88,broken clouds
222,Waddan,LY,29.1614,16.139,84.16,12,7,17.18,clear sky
223,Opuwo,NA,-18.0607,13.84,96.24,11,97,10.04,overcast clouds
224,Ashoknagar,IN,24.5667,77.7167,63.91,28,0,4.07,clear sky
225,Hualmay,PE,-11.0964,-77.6139,73.27,68,99,3.87,overcast clouds
226,Palana,RU,59.1167,159.9667,18.55,91,100,33.17,overcast clouds
227,Butte,US,39.6499,-121.5677,42.8,81,1,3.44,clear sky
228,Pangnirtung,CA,66.1451,-65.7125,21.15,79,0,8.57,clear sky
229,Gweta,BW,-20.1833,25.2333,88.75,40,98,8.08,overcast clouds
230,Boyolangu,ID,-8.1181,111.8935,76.89,89,100,3.04,overcast clouds
231,Oudtshoorn,ZA,-33.5907,22.2014,68.0,77,90,9.22,overcast clouds
232,Plettenberg Bay,ZA,-34.0527,23.3716,67.84,80,97,8.86,overcast clouds
233,Carnduff,CA,49.1667,-101.8009,-26.0,79,98,1.01,overcast clouds
234,Okha,RU,53.5739,142.9478,8.67,94,100,23.17,light snow
235,Shingu,JP,33.7333,135.9833,45.32,75,0,5.53,clear sky
236,Touros,BR,-5.1989,-35.4608,87.8,58,75,11.5,broken clouds
237,Khipro,PK,25.8285,69.3772,69.21,22,0,1.63,clear sky
238,Grindavik,IS,63.8424,-22.4338,35.6,60,0,18.41,clear sky
239,Port Lincoln,AU,-34.7333,135.8667,61.65,75,21,16.71,few clouds
240,Soimus,RO,45.9167,22.9,54.07,58,100,3.74,overcast clouds
241,Te Anau,NZ,-45.4167,167.7167,52.79,84,100,3.53,overcast clouds
242,Epe,NG,6.5841,3.9834,96.91,40,100,7.4,overcast clouds
243,Campoverde,PE,-8.4753,-74.8058,80.6,78,40,2.3,scattered clouds
244,Shimoda,JP,34.6667,138.95,45.0,54,0,1.99,clear sky
245,Olinda,BR,-8.0089,-34.8553,84.2,61,40,9.22,scattered clouds
246,Beloye,UA,48.4952,39.0505,20.68,72,100,9.82,overcast clouds
247,Mnogovershinnyy,RU,53.9353,139.9242,-0.87,92,100,9.69,overcast clouds
248,Abonnema,NG,4.7084,6.7931,93.2,49,75,2.04,broken clouds
249,Glendale,US,33.5387,-112.186,48.2,65,1,4.61,clear sky
250,Marsh Harbour,BS,26.5412,-77.0636,76.14,82,0,20.22,clear sky
251,Mbandaka,CD,0.0487,18.2603,87.55,48,49,4.59,scattered clouds
252,Kamyshlov,RU,56.8428,62.7111,1.0,89,100,16.71,overcast clouds
253,Valdez,EC,1.2492,-78.9831,77.97,88,100,4.18,light rain
254,Pangai,TO,-19.8,-174.35,78.8,94,90,11.5,light rain
255,Hami,CN,42.8,93.45,32.58,79,28,4.12,scattered clouds
256,Batouri,CM,4.4333,14.3667,99.9,12,36,4.94,scattered clouds
257,Providencia,MX,28.7167,-111.5833,50.0,62,1,5.12,clear sky
258,Charlestown,AU,-32.95,151.6667,73.0,87,27,10.6,scattered clouds
259,Bagrami,AF,34.4938,69.2743,60.8,23,0,8.05,clear sky
260,Omsukchan,RU,62.5333,155.8,0.36,88,100,12.55,overcast clouds
261,Dhidhdhoo,MV,6.8833,73.1,81.79,74,100,12.95,overcast clouds
262,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,23.0,93,75,4.47,light snow
263,Stillwater,US,36.1156,-97.0584,27.0,74,90,8.12,overcast clouds
264,Arosa,CH,46.7779,9.6762,39.0,92,100,3.51,moderate rain
265,Doctor Juan Manuel Frutos,PY,-25.3667,-55.8,71.8,68,0,3.78,clear sky
266,Ciudad Bolivar,VE,8.1222,-63.5497,80.38,67,100,11.59,overcast clouds
267,Deputatskiy,RU,69.3,139.9,-29.51,85,0,2.51,clear sky
268,Ongandjera,NA,-17.8833,15.0667,94.64,19,53,11.1,broken clouds
269,Mecca,SA,21.4267,39.8261,81.68,17,0,7.58,clear sky
270,Sopelana,ES,43.3789,-2.9831,55.99,54,20,5.75,few clouds
271,Sibolga,ID,1.7427,98.7792,79.12,78,74,2.75,broken clouds
272,Kavieng,PG,-2.5744,150.7967,83.25,75,27,8.84,scattered clouds
273,Pyapon,MM,16.2833,95.6833,76.96,66,6,7.92,clear sky
274,Isangel,VU,-19.55,169.2667,77.0,94,20,3.31,few clouds
275,Sheregesh,RU,52.9209,87.9869,27.03,98,80,1.83,snow
276,Guozhen,CN,34.3659,107.359,47.37,45,1,3.56,clear sky
277,Faanui,PF,-16.4833,-151.75,81.21,77,9,15.46,moderate rain
278,Mayskiy,RU,47.6931,40.1025,19.4,58,0,6.71,clear sky
279,Menongue,AO,-14.6585,17.691,79.38,61,100,6.26,light rain
280,Leningradskiy,RU,69.3833,178.4167,-12.1,74,30,4.99,scattered clouds
281,Sembakung,ID,3.8167,117.25,80.6,89,20,2.3,few clouds
282,Winslow,US,35.0242,-110.6974,21.2,53,1,5.75,clear sky
283,Naze,JP,28.3667,129.4833,58.55,64,0,10.56,clear sky
284,Saskylakh,RU,71.9167,114.0833,-38.72,78,28,10.98,scattered clouds
285,Samarai,PG,-10.6167,150.6667,83.34,78,79,4.56,broken clouds
286,Sumbe,AO,-11.2061,13.8437,80.28,72,95,9.93,overcast clouds
287,Ribeira Grande,PT,38.5167,-28.7,62.6,77,20,18.41,few clouds
288,Lompoc,US,34.6391,-120.4579,54.0,100,75,3.44,mist
289,Sainte-Suzanne,RE,-20.9061,55.6089,86.0,66,75,10.36,broken clouds
290,Longyearbyen,SJ,78.2186,15.6401,17.6,73,75,14.97,light snow
291,Gilgit,PK,35.9221,74.3087,37.85,55,28,1.54,scattered clouds
292,Vao,NC,-22.6667,167.4833,77.45,88,37,12.68,scattered clouds
293,Kristiinankaupunki,FI,62.2743,21.376,20.07,95,84,9.42,broken clouds
294,Beyneu,KZ,45.3167,55.2,35.78,93,100,12.08,overcast clouds
295,Thompson,CA,55.7435,-97.8558,-36.4,67,75,10.36,snow
296,Boa Vista,BR,2.8197,-60.6733,80.6,65,75,11.5,broken clouds
297,Basoko,CD,1.2391,23.616,94.8,20,35,2.64,scattered clouds
298,Coahuayana,MX,18.7333,-103.6833,64.4,77,40,6.91,scattered clouds
299,Coquimbo,CL,-29.9533,-71.3436,60.8,77,90,5.75,overcast clouds
300,Lavrentiya,RU,65.5833,-171.0,-10.75,79,0,5.53,clear sky
301,Esperance,AU,-33.8667,121.9,64.4,82,90,17.27,overcast clouds
302,Ratnagiri,IN,16.9833,73.3,82.67,49,2,12.37,clear sky
303,Port Hedland,AU,-20.3167,118.5667,80.6,69,0,11.5,clear sky
304,Bira,RU,49.0,132.4667,-7.65,86,0,4.25,clear sky
305,Mogadishu,SO,2.0371,45.3438,82.4,61,20,20.71,few clouds
306,Rawson,AR,-43.3002,-65.1023,59.41,54,27,11.9,scattered clouds
307,Kismayo,SO,-0.3582,42.5454,81.19,69,34,19.39,scattered clouds
308,Tabou,CI,4.423,-7.3528,83.43,75,96,6.26,overcast clouds
309,Baoshan,CN,46.5586,131.4244,-10.48,87,0,6.11,clear sky
310,Bilibino,RU,68.0546,166.4372,-2.49,71,0,4.59,clear sky
311,Tadine,NC,-21.55,167.8833,76.93,81,0,3.0,clear sky
312,Norman Wells,CA,65.282,-126.8329,-20.2,76,75,5.75,light snow
313,Folkestone,GB,51.0833,1.1833,32.0,97,100,8.01,snow
314,Namatanai,PG,-3.6667,152.4333,81.0,79,78,5.99,broken clouds
315,Galesong,ID,-5.3166,119.3661,78.8,100,20,2.3,few clouds
316,Halifax,CA,44.6453,-63.5724,28.4,64,100,6.91,overcast clouds
317,Maple Creek,CA,49.9168,-109.4848,-23.8,76,100,2.3,overcast clouds
318,Milledgeville,US,33.0801,-83.2321,41.0,100,90,6.91,mist
319,Alyangula,AU,-13.8483,136.4192,80.6,89,99,11.5,overcast clouds
320,Ishigaki,JP,24.3448,124.1572,70.61,72,98,13.47,overcast clouds
321,Nanortalik,GL,60.1432,-45.2371,32.63,87,100,14.5,overcast clouds
322,Gat,IL,31.61,34.7642,69.01,13,0,7.36,clear sky
323,Elizabeth City,US,36.2946,-76.2511,44.6,87,90,14.97,mist
324,Afonso Claudio,BR,-20.0742,-41.1239,71.01,10,100,1.72,overcast clouds
325,Evensk,RU,61.95,159.2333,19.11,81,100,37.51,overcast clouds
326,Natal,BR,-5.795,-35.2094,87.8,62,75,12.66,broken clouds
327,Hasaki,JP,35.7333,140.8333,46.99,52,20,6.91,few clouds
328,Gwadar,PK,25.1216,62.3254,71.38,45,0,7.16,clear sky
329,Alofi,NU,-19.0595,-169.9187,77.0,94,98,4.61,overcast clouds
330,Grand Forks,US,47.9417,-97.4337,-20.99,69,1,5.75,clear sky
331,Otavi,NA,-19.65,17.3333,84.38,44,90,17.0,overcast clouds
332,Palmer,US,42.1584,-72.3287,27.0,68,90,3.44,overcast clouds
333,Cairns,AU,-16.9167,145.7667,82.4,94,90,2.3,heavy intensity drizzle
334,Amga,RU,60.8953,131.9608,-32.24,81,0,0.85,clear sky
335,Coffs Harbour,AU,-30.3,153.1333,73.4,78,75,9.22,broken clouds
336,Simao,CN,22.7886,100.9748,55.4,95,100,2.24,light rain
337,Ikskile,LV,56.8333,24.5,16.0,79,20,6.91,few clouds
338,Moosomin,CA,50.1333,-101.6677,-30.86,84,0,8.28,clear sky
339,Katete,UG,-0.7818,29.7544,86.52,24,0,7.49,clear sky
340,Coromandel,BR,-18.4733,-47.2003,66.45,96,100,1.66,overcast clouds
341,Leh,IN,34.1667,77.5833,15.46,62,0,2.13,clear sky
342,Bitam,GA,2.076,11.5007,88.63,43,49,4.72,scattered clouds
343,Tiksi,RU,71.6872,128.8694,-29.69,83,100,5.41,overcast clouds
344,Riyadh,SA,24.6877,46.7219,69.8,28,0,19.57,clear sky
345,Caravelas,BR,-17.7125,-39.2481,86.45,61,96,10.02,overcast clouds
346,Tautira,PF,-17.7333,-149.15,75.2,73,40,4.61,light rain
347,Akhmim,EG,26.5622,31.745,75.2,35,0,6.91,clear sky
348,Ancud,CL,-41.8697,-73.8203,70.0,55,0,8.05,clear sky
