City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
644,Ugoofaaru,MV,82.0,clear sky,5.6667,73.0,Ungoofaaru Inn
646,Rocha,UY,73.69,clear sky,-34.4833,-54.3333,Beleza Pura B&B
647,Lubango,AO,80.6,scattered clouds,-14.9172,13.4925,Hotel Serra da Chela
648,Atambua,ID,75.76,overcast clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
650,Paita,PE,77.0,clear sky,-5.0892,-81.1144,Hotel Náutico de Paita
652,Butiama,TZ,78.8,few clouds,-1.7667,33.9667,Mwitongo Lodge
653,Kathu,TH,82.4,scattered clouds,7.9178,98.3332,Novotel Phuket Resort
657,Huarmey,PE,72.57,overcast clouds,-10.0681,-78.1522,Hotel Miramar
658,Vila Velha,BR,71.01,moderate rain,-20.3297,-40.2925,Hotel Vitória Palace
660,Garowe,SO,89.76,clear sky,8.4054,48.4845,Curubo Hotel
663,Newcastle,AU,73.0,scattered clouds,-32.9272,151.7765,NOAH'S on the beach
664,Iquique,CL,77.0,clear sky,-20.2208,-70.1431,Backpacker`s Hostel Iquique
665,Antalaha,MG,84.56,scattered clouds,-14.9003,50.2788,Hotel Vitasoa
666,Isla Mujeres,MX,79.0,few clouds,21.2311,-86.73100000000001,Hotel La Joya Isla Mujeres
671,Point Fortin,TT,82.0,overcast clouds,10.1833,-61.6833,Jus Les' Suites
673,Presidencia Roque Saenz Pena,AR,82.0,clear sky,-26.7852,-60.4388,Hotel Gualok
675,Buala,SB,78.46,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
676,Morondava,MG,86.2,scattered clouds,-20.2833,44.2833,La Case Bambou
679,Marawi,PH,75.99,overcast clouds,7.9986,124.2928,Derogongan Residence
681,Alta Floresta,BR,71.73,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
684,Kununurra,AU,80.6,light rain,-15.7667,128.7333,Hotel Kununurra
